gt_track_id,boundary_frame,src_node_id,dst_node_id,population,gt_correct,curr_person_id,nxt_person_id,curr_in_group,nxt_in_group,edge_id,edge_type,is_allowed,disallow_reasons,total_cost,term_env,term_time,term_vreq,term_missing_geom,term_flags,term_group_coherence,term_birth_prior,term_death_prior,term_merge_prior,term_split_prior,dt_s,dist_m,v_req_mps
0,105,G:0-104:carrier=t2:d=none:n=t17,T:t17,no_edge_exists,,p0001,p0002,False,False,,,,,,,,,,,,,,,,,,
0,120,G:106-119:carrier=t2:d=t17:n=t21,T:t21,no_edge_exists,,p0001,p0002,False,False,,,,,,,,,,,,,,,,,,
0,363,G:121-362:carrier=t2:d=t21:n=t49,T:t2:s5:363-403,no_edge_exists,,p0001,p0001,False,False,,,,,,,,,,,,,,,,,,
0,379,T:t2:s5:363-403,T:t49,no_edge_exists,,p0001,p0002,False,False,,,,,,,,,,,,,,,,,,
0,380,T:t49,T:t2:s5:363-403,no_edge_exists,,p0002,p0001,False,False,,,,,,,,,,,,,,,,,,
0,404,T:t2:s5:363-403,G:404-488:carrier=t2:d=t51:n=t62,no_edge_exists,,p0001,p0001,False,True,,,,,,,,,,,,,,,,,,
0,489,G:404-488:carrier=t2:d=t51:n=t62,T:t2:s7:489-567,no_edge_exists,,p0001,p0001,True,False,,,,,,,,,,,,,,,,,,
0,563,T:t2:s7:489-567,T:t62,no_edge_exists,,p0001,p0006,False,False,,,,,,,,,,,,,,,,,,
0,567,T:t62,T:t2:s7:489-567,no_edge_exists,,p0006,p0001,False,False,,,,,,,,,,,,,,,,,,
0,568,T:t2:s7:489-567,G:568-625:carrier=t2:d=t62:n=t81,no_edge_exists,,p0001,p0001,False,True,,,,,,,,,,,,,,,,,,
0,626,G:568-625:carrier=t2:d=t62:n=t81,T:t2:s9:626-672,no_edge_exists,,p0001,p0001,True,False,,,,,,,,,,,,,,,,,,
0,673,T:t2:s9:626-672,G:673-682:carrier=t2:d=t81:n=t81_s2,no_edge_exists,,p0001,p0001,False,True,,,,,,,,,,,,,,,,,,
0,683,G:673-682:carrier=t2:d=t81:n=t81_s2,G:683-711:carrier=t2:d=t81_s1:n=t86,no_edge_exists,,p0001,p0001,True,False,,,,,,,,,,,,,,,,,,
0,712,G:683-711:carrier=t2:d=t81_s1:n=t86,T:t86,no_edge_exists,,p0001,p0005,False,False,,,,,,,,,,,,,,,,,,
0,719,T:t86,T:t2:s12:712-894,no_edge_exists,,p0005,p0001,False,False,,,,,,,,,,,,,,,,,,
