camera,date,attempt,n_segments,n_intervals,fast_centre,slow_centre,n_fast,n_slow,n_gap,fast_frac,fast_runs_count,fast_runs_mean,fast_runs_max,slow_runs_count,slow_runs_mean,slow_runs_max,n_mode_switches,boundary_split_runs,longest_gap_free_frames,rle_compact
FP7oJQ,20260804,1,14,7469,,6000,0,6825,639,0.0,0,0,0,632,10.8,18,0,10,18,O1 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S10 G1 S12 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 ...+1234
FP7oJQ,20260804,2,1,196,,6000,0,178,17,0.0,0,0,0,17,10.5,12,0,0,12,O1 G1 S8 G1 S11 G1 S10 G1 S12 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S5
FP7oJQ,20260804,5,1,357,,6000,0,324,32,0.0,0,0,0,31,10.5,16,0,0,16,O1 G1 S3 G1 S9 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 ...+24
FP7oJQ,20260804,7,2,2239,,6000,0,2053,185,0.0,0,0,0,184,11.2,41,0,1,41,O1 G1 S5 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S15 G1 S9 G1 S6 G1 S16 G1 ...+330
FP7oJQ,20260804,10,4,5629,,6000,0,5169,459,0.0,0,0,0,458,11.3,41,0,3,41,O1 G1 S5 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S10 G1 S12 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 ...+878
FP7oJQ,20260804,12,4,6035,,6000,0,5527,507,0.0,0,0,0,507,10.9,22,0,2,22,O1 G1 S10 G1 S12 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S10 G1 S12 G1 S11 G1 S11 G1 ...+975
FP7oJQ,20260804,13,1,1577,,6000,0,1445,131,0.0,0,0,0,130,11.1,41,0,0,41,O1 G1 S2 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S10 G1 S12 G1 S11 G1 S11 G1 S11 G1 ...+222
FP7oJQ,20260804,14,17,32177,3000,6000,9619,20653,1904,0.2989,95,101.3,1183,1988,10.4,81,180,12,3562,O1 G1 S2 G1 S11 G1 S11 G1 S11 G1 S10 G1 S12 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 ...+3947
FP7oJQ,20260805,1,84,55290,,5999,0,50911,4359,0.0,0,0,0,4341,11.7,50,0,63,50,O1 G1 S1 G1 S35 G1 S15 G1 S9 G1 S19 G1 S17 G1 S13 G1 S20 G1 S15 G1 S9 G1 S19 G1 S17 G1 S13 G1 S20 G1 S15 G1 S9 G1 S19 G1 S17 G1 S13 G1 ...+8676
FP7oJQ,20260805,2,1,858,,5999,0,787,70,0.0,0,0,0,70,11.2,42,0,0,42,S1 O1 G1 S11 G1 S11 G1 S11 G1 S10 G1 S12 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S10 ...+101
FP7oJQ,20260805,3,3,3609,,6000,0,3304,304,0.0,0,0,0,304,10.9,41,0,0,41,S1 O1 G1 S5 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S10 G1 S12 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 ...+569
FP7oJQ,20260805,4,1,1363,,5999,0,1246,116,0.0,0,0,0,116,10.7,12,0,0,12,S1 O1 G1 S8 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S10 G1 S12 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 ...+192
FP7oJQ,20260807,1,6,1624,,6000,0,1491,131,0.0,0,0,0,132,11.3,51,0,4,51,S1 O1 G1 S8 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S10 G1 S12 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 ...+225
PPDmUg,20260804,1,17,8748,,6000,0,8725,16,0.0,0,0,0,10,872.5,3433,0,10,3433,O1 G1 S653 G1 S212 G1 O1 G1 S416 G1 O1 G1 S653 G1 S227 G1 O1 G1 S653 G1 S227 G1 O1 G1 S866 G1 O1 G1 S1385 G1 O1 G1 S3433
PPDmUg,20260804,5,1,590,,6000,0,587,2,0.0,0,0,0,1,587,587,0,0,587,O1 G1 S587 G1
PPDmUg,20260804,7,2,2214,,6000,0,2212,1,0.0,0,0,0,1,2212,2212,0,1,2212,O1 G1 S2212
PPDmUg,20260804,10,4,6395,3000,6000,156,6221,17,0.0244,1,156,156,16,388.8,2556,1,3,2556,O1 G1 S2556 G1 S9 G1 S12 F156 G2 S977 G1 S1423 G1 S7 G1 S10 G1 S11 G1 S955 G1 S10 G1 S8 G1 S5 G1 S6 G1 S4 G1 S8 G1 S220
PPDmUg,20260804,12,4,6846,,6000,0,6843,2,0.0,0,0,0,2,3421.5,5454,0,2,5454,O1 G1 S5454 G1 S1389
PPDmUg,20260804,13,1,1427,,6000,0,1424,2,0.0,0,0,0,1,1424,1424,0,0,1424,O1 G1 S1424 G1
PPDmUg,20260804,14,17,30244,3000,6000,1100,29139,4,0.0364,7,157.1,313,10,2913.9,13162,13,5,13668,O1 G1 S10853 G1 S13162 F157 S174 F157 S18 G1 S228 F313 S1431 F157 S428 F157 S1852 F157 S145 G1 S848 F2
PPDmUg,20260805,1,87,62530,3000,6000,2701,56930,2881,0.0432,19,142.2,357,154,369.7,9617,34,44,9880,O1 G362 O1 G337 O1 G386 O1 G412 O1 G794 O1 G423 S1 G1 S864 G1 S1 G2 S1 G2 S80 G1 S2 G1 S1 G1 S4 G1 S5 G1 S251 G3 S67 G1 S4 G1 S4 G1 S83 G4 ...+302
PPDmUg,20260805,3,4,6581,3000,6000,206,6273,101,0.0313,1,206,206,96,65.3,3364,2,3,3364,S1 O1 G1 S3364 G1 S14 G1 S5 G1 S1 F206 S5 G1 S4 G1 S111 G1 S455 G2 S556 G1 S5 G1 S4 G1 S2 G1 S6 G1 S5 G1 S7 G1 S4 G1 S3 G1 S2 G1 S3 ...+153
PPDmUg,20260805,6,2,2126,,6000,0,2044,81,0.0,0,0,0,81,25.2,774,0,0,774,S1 O1 G1 S30 G1 S6 G1 S3 G1 S3 G1 S3 G1 S4 G1 S5 G1 S5 G1 S4 G1 S2 G1 S2 G1 S2 G1 S3 G1 S4 G1 S7 G1 S11 G1 S15 G1 S5 G1 S2 ...+122
PPDmUg,20260807,1,5,1432,,6000,0,1425,5,0.0,0,0,0,5,285,866,0,2,866,S1 O1 G1 S866 G1 S1 O1 G1 S333 G1 S224 G1
