centre_index,fast_frac
50,0.0
60,0.06
70,0.16
80,0.26
90,0.36
100,0.46
110,0.56
120,0.66
130,0.76
140,0.86
150,0.96
160,1.0
170,1.0
180,1.0
190,1.0
200,1.0
210,1.0
220,1.0
230,1.0
240,1.0
250,0.98
260,0.88
270,0.78
280,0.68
290,0.58
300,0.48
310,0.38
320,0.28
330,0.18
340,0.09
350,0.11
360,0.21
370,0.31
380,0.41
390,0.51
400,0.61
410,0.71
420,0.81
430,0.91
440,1.0
450,1.0
460,1.0
470,1.0
480,1.0
490,1.0
500,1.0
510,1.0
520,1.0
530,1.0
540,1.0
550,0.99
560,0.97
570,0.96
580,0.96
590,0.96
600,0.96
610,0.96
620,0.96
630,0.96
640,0.96
650,0.97
660,0.99
670,1.0
680,1.0
690,0.99
700,0.93
710,0.83
720,0.73
730,0.63
740,0.53
750,0.43
760,0.33
770,0.31
780,0.3
790,0.3
800,0.36
810,0.45
820,0.55
830,0.64
840,0.73
850,0.83
860,0.92
870,0.94
880,0.94
890,0.94
900,0.94
910,0.95
920,0.95
930,0.96
940,0.97
950,0.97
960,0.98
970,0.98
980,0.99
990,0.92
1000,0.82
1010,0.72
1020,0.68
1030,0.68
1040,0.67
1050,0.67
1060,0.66
1070,0.66
1080,0.65
1090,0.73
1100,0.83
1110,0.93
1120,0.97
1130,0.97
1140,0.98
1150,0.98
1160,0.99
1170,0.99
1180,0.99
1190,0.99
1200,0.98
1210,0.98
1220,0.97
1230,0.97
1240,0.96
1250,0.95
1260,0.95
1270,0.94
1280,0.95
1290,0.94
1300,0.94
1310,0.94
1320,0.94
1330,0.94
1340,0.94
1350,0.95
1360,0.95
1370,0.96
1380,0.96
1390,0.97
1400,0.98
1410,0.98
1420,0.99
1430,0.99
1440,1.0
1450,1.0
1460,1.0
1470,1.0
1480,1.0
1490,1.0
1500,1.0
1510,1.0
1520,1.0
1530,1.0
1540,1.0
1550,1.0
1560,1.0
1570,1.0
1580,1.0
1590,1.0
1600,1.0
1610,1.0
1620,1.0
1630,1.0
1640,1.0
1650,1.0
1660,1.0
1670,1.0
1680,1.0
1690,1.0
1700,1.0
1710,0.92
1720,0.82
1730,0.72
1740,0.62
1750,0.57
1760,0.57
1770,0.57
1780,0.57
1790,0.57
1800,0.57
1810,0.65
1820,0.75
1830,0.85
1840,0.95
1850,1.0
1860,1.0
1870,1.0
1880,1.0
1890,1.0
1900,1.0
1910,0.97
1920,0.87
1930,0.77
1940,0.67
1950,0.57
1960,0.47
1970,0.37
1980,0.27
1990,0.17
2000,0.07
2010,0.0
2020,0.0
2030,0.0
2040,0.0
2050,0.0
2060,0.0
2070,0.0
2080,0.0
2090,0.0
2100,0.0
2110,0.0
2120,0.0
2130,0.0
2140,0.0
2150,0.0
2160,0.0
2170,0.0
2180,0.0
2190,0.0
2200,0.0
2210,0.0
2220,0.0
2230,0.0
2240,0.0
2250,0.0
2260,0.0
2270,0.0
2280,0.0
2290,0.0
2300,0.0
2310,0.0
2320,0.0
2330,0.0
2340,0.0
2350,0.0
2360,0.0
2370,0.0
2380,0.0
2390,0.0
2400,0.0
2410,0.0
2420,0.0
2430,0.0
2440,0.0
2450,0.01
2460,0.11
