segment_id,n_intervals,modal_tick,grid_rate,effective_rate,rate_ratio,predicted_skip,observed_skip,n_gaps,category
FP7oJQ-20260804-093417,326,6030,14.9254,13.8136,1.080487,12.42,12,28,skip_predicted
FP7oJQ-20260804-093438,270,6030,14.9254,13.8696,1.076119,13.14,12,22,skip_predicted
FP7oJQ-20260804-093457,218,6030,14.9254,13.8562,1.07716,12.96,12,18,skip_predicted
FP7oJQ-20260804-104057,317,6030,14.9254,13.8229,1.079759,12.54,12,27,skip_predicted
FP7oJQ-20260804-104117,0,,,,,,,0,no_skip_predicted
FP7oJQ-20260804-105730,196,6030,14.9254,13.8683,1.076226,13.12,12,17,skip_predicted
FP7oJQ-20260804-114425,333,6030,14.9254,13.8364,1.078706,12.71,7,29,skip_predicted
FP7oJQ-20260804-114448,261,6030,14.9254,13.7368,1.086521,11.56,7,23,skip_predicted
FP7oJQ-20260804-114506,218,6030,14.9254,13.8553,1.077229,12.95,7,18,skip_predicted
FP7oJQ-20260804-142902,326,6030,14.9254,13.8136,1.080487,12.42,7,28,skip_predicted
FP7oJQ-20260804-142923,268,6030,14.9254,13.8144,1.080419,12.43,7,23,skip_predicted
FP7oJQ-20260804-142942,218,6030,14.9254,13.8562,1.07716,12.96,7,18,skip_predicted
FP7oJQ-20260804-150842,1464,6030,14.9254,13.794,1.082018,12.19,7,126,skip_predicted
FP7oJQ-20260804-153236,1705,6030,14.9254,13.8094,1.080816,12.37,12,144,skip_predicted
FP7oJQ-20260804-153437,1540,6030,14.9254,13.8324,1.079017,12.66,12,130,skip_predicted
FP7oJQ-20260804-153853,357,6030,14.9254,13.8014,1.081442,12.28,7,32,skip_predicted
FP7oJQ-20260804-154214,1706,6030,14.9254,13.8175,1.080182,12.47,12,142,skip_predicted
FP7oJQ-20260804-154415,533,6030,14.9254,13.856,1.077175,12.96,12,43,skip_predicted
FP7oJQ-20260804-154645,1707,6030,14.9254,13.8856,1.07488,13.35,12,138,skip_predicted
FP7oJQ-20260804-154847,1678,6030,14.9254,13.883,1.07508,13.32,12,135,skip_predicted
FP7oJQ-20260804-155048,1649,6030,14.9254,13.8416,1.078302,12.77,12,138,skip_predicted
FP7oJQ-20260804-155247,594,6030,14.9254,13.8999,1.073773,13.56,7,47,skip_predicted
FP7oJQ-20260804-155446,1706,6030,14.9254,13.8399,1.078433,12.75,12,143,skip_predicted
FP7oJQ-20260804-155647,1649,6030,14.9254,13.8262,1.079496,12.58,12,138,skip_predicted
FP7oJQ-20260804-155847,1650,6030,14.9254,13.7807,1.083066,12.04,12,139,skip_predicted
FP7oJQ-20260804-160046,1029,6030,14.9254,13.8431,1.078181,12.79,12,86,skip_predicted
FP7oJQ-20260804-160252,1577,6030,14.9254,13.8496,1.077674,12.87,12,131,skip_predicted
