segment_id,camera,date,time,schema,attempt,n_frames,n_intervals,total_span_s,fast_centre,slow_centre,is_2to1,n_fast,n_slow,n_gap,n_other,fast_frac,fast_runs_count,fast_runs_mean,fast_runs_median,fast_runs_max,slow_runs_count,slow_runs_mean,slow_runs_median,slow_runs_max,n_mode_switches,boundary_trunc_frac,rle_compact,gap_total,gap_spacing_mode,gap_spacing_mean,gap_spacing_stdev,gap_spacing_hist_top3,longest_gap_free_frames,longest_gap_free_s,top_ticks,modal_tick,grid_rate,effective_rate,rate_ratio,predicted_skip,observed_skip,v4_is_bimodal,v4_nominal_dt_s,v4_short_mode_fraction
FP7oJQ-20260804-093417,FP7oJQ,20260804,093417,1,1,327,326,23.6,,6000,False,0,297,28,1,0.0,0,0,0,0,27,11,11,12,0,0.0357,O1 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S10 G1 S12 G1 S11 G1 S11 G1 ...+26,28,12,12,0.39,12:23; 11:2; 13:2,12,0.8,6030:198; 5940:99; 11970:18; 12060:9; 0:1; 18000:1,6030,14.9254,13.8136,1.080487,12.42,12,,,
FP7oJQ-20260804-093438,FP7oJQ,20260804,093438,1,1,271,270,19.467,,6000,False,0,248,22,0,0.0,0,0,0,0,23,10.8,11,12,0,0.0444,S10 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S10 G1 S12 G1 ...+15,22,12,12,0.32,12:19; 11:1; 13:1,12,0.8,6030:166; 5940:82; 11970:15; 12060:7,6030,14.9254,13.8696,1.076119,13.14,12,,,
FP7oJQ-20260804-093457,FP7oJQ,20260804,093457,1,1,219,218,15.733,,6000,False,0,200,18,0,0.0,0,0,0,0,19,10.5,11,12,0,0.0541,S3 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S10 G1 S12 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 ...+7,18,12,12,0.35,12:15; 11:1; 13:1,12,0.8,6030:133; 5940:67; 11970:12; 12060:6,6030,14.9254,13.8562,1.07716,12.96,12,,,
FP7oJQ-20260804-104057,FP7oJQ,20260804,104057,1,1,318,317,22.933,,6000,False,0,289,27,1,0.0,0,0,0,0,27,10.7,11,12,0,0.0364,O1 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S10 G1 S12 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 ...+25,27,12,12,0.4,12:22; 11:2; 13:2,12,0.8,6030:192; 5940:97; 11970:17; 12060:9; 0:1; 18000:1,6030,14.9254,13.8229,1.079759,12.54,12,,,
FP7oJQ-20260804-104117,FP7oJQ,20260804,104117,1,1,1,0,0,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,,,,,,,,,,
FP7oJQ-20260804-105730,FP7oJQ,20260804,105730,1,2,197,196,14.133,,6000,False,0,178,17,1,0.0,0,0,0,0,17,10.5,11,12,0,0.0571,O1 G1 S8 G1 S11 G1 S10 G1 S12 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 S11 G1 ...+5,17,12,11.81,0.83,12:13; 9:1; 11:1,12,0.8,6030:118; 5940:60; 11970:11; 12060:6; 0:1,6030,14.9254,13.8683,1.076226,13.12,12,,,
FP7oJQ-20260804-114425,FP7oJQ,20260804,114425,2,1,334,333,24.067,,6000,False,0,303,29,1,0.0,0,0,0,0,29,10.4,7,16,0,0.0339,O1 G1 S2 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 ...+29,29,7,11.57,5.17,7:13; 17:12; 3:1,16,1.07,6030:202; 5940:101; 11970:19; 12060:10; 0:1,6030,14.9254,13.8364,1.078706,12.71,7,,,
FP7oJQ-20260804-114448,FP7oJQ,20260804,114448,2,1,262,261,19.0,,6000,False,0,238,23,0,0.0,0,0,0,0,24,9.9,7.0,16,0,0.0426,S8 G1 S6 G1 S16 G1 S5 G1 S8 G1 S6 G1 S15 G1 S9 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 ...+17,23,7,11.23,4.89,7:10; 17:8; 6:1,16,1.07,6030:159; 5940:79; 11970:15; 12060:7; 18000:1,6030,14.9254,13.7368,1.086521,11.56,7,,,
FP7oJQ-20260804-114506,FP7oJQ,20260804,114506,2,1,219,218,15.734,,6000,False,0,200,18,0,0.0,0,0,0,0,19,10.5,9,16,0,0.0541,S10 G1 S6 G1 S16 G1 S6 G1 S15 G1 S9 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 ...+7,18,7,11.82,4.97,7:8; 17:7; 16:1,16,1.07,6030:133; 5940:67; 11970:11; 12060:7,6030,14.9254,13.8553,1.077229,12.95,7,,,
FP7oJQ-20260804-142902,FP7oJQ,20260804,142902,2,1,327,326,23.6,,6000,False,0,298,28,0,0.0,0,0,0,0,29,10.3,9,16,0,0.0351,S1 G1 S10 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S16 G1 S6 G1 S15 G1 S9 G1 ...+27,28,7,11.67,4.88,7:13; 17:11; 11:1,16,1.07,6030:199; 5940:99; 11970:19; 12060:9,6030,14.9254,13.8136,1.080487,12.42,7,,,
