frame_index,brightness,people_025,people_045
0,86.6,1,1
15,86.56,1,1
30,86.54,1,1
45,86.47,1,1
60,85.83,1,1
75,85.8,1,1
90,85.8,1,1
105,85.82,1,1
120,85.9,2,2
135,85.97,1,1
150,85.68,1,1
165,85.68,1,1
180,85.71,2,2
195,85.78,2,2
210,85.9,2,2
225,86.06,1,1
240,85.97,1,1
255,85.99,2,2
270,86.19,3,2
285,86.21,2,2
300,86.25,2,2
315,86.29,2,2
330,86.37,2,2
345,86.42,1,1
360,86.19,1,1
375,86.2,1,1
390,86.24,1,1
405,86.24,2,1
420,86.86,1,0
435,86.89,0,0
450,86.97,0,0
465,86.97,0,0
480,86.69,0,0
495,86.71,0,0
510,86.78,0,0
525,86.76,0,0
540,86.8,0,0
555,86.82,0,0
570,86.79,0,0
585,86.81,0,0
600,86.57,0,0
615,86.62,0,0
630,86.7,0,0
645,86.69,0,0
660,86.7,0,0
675,86.71,0,0
690,86.81,0,0
705,86.76,0,0
720,86.54,0,0
735,86.58,0,0
750,86.7,0,0
765,86.71,0,0
780,86.36,1,1
795,86.33,1,1
810,86.34,2,1
825,86.38,3,1
840,86.1,4,3
855,86.1,2,2
870,86.18,2,2
885,86.22,2,2
900,86.14,2,2
915,86.14,2,2
930,86.15,3,3
945,86.02,4,3
960,85.76,3,3
975,85.67,4,4
990,85.72,3,3
1005,85.69,3,2
1020,85.83,3,3
1035,86.08,4,3
1050,85.99,3,3
1065,85.99,2,2
1080,85.92,2,2
1095,85.64,1,1
1110,85.58,2,2
1125,85.67,2,2
1140,85.84,2,2
1155,85.95,2,2
1170,86.09,1,1
1185,86.23,1,1
1200,85.98,1,1
1215,85.99,2,2
1230,86.06,2,2
1245,86.01,2,2
1260,86.09,2,1
1275,86.15,2,2
1290,86.48,1,1
1305,86.66,1,1
1320,88.14,1,1
1335,88.31,1,1
1350,88.61,1,1
1365,88.64,1,1
1380,88.69,1,1
1395,88.7,1,1
1410,88.74,1,1
1425,88.74,1,0
1440,88.61,1,1
1455,88.63,1,1
1470,88.74,1,1
1485,88.75,1,1
1500,88.82,0,0
1515,88.82,1,0
1530,88.87,1,0
1545,88.86,1,1
1560,88.6,1,1
1575,88.62,1,1
1590,88.73,1,1
1605,88.75,1,1
1620,88.8,1,1
1635,88.78,1,1
1650,88.79,2,0
1665,88.76,1,0
1680,88.52,0,0
1695,88.55,0,0
1710,88.69,0,0
1725,88.7,1,0
1740,88.75,1,1
1755,88.74,1,0
1770,88.79,2,0
1785,88.8,1,0
1800,88.58,1,1
1815,88.59,3,2
1830,88.67,1,1
1845,88.75,1,1
1860,88.63,1,1
1875,88.66,2,1
1890,88.74,1,1
1905,88.68,1,1
1920,88.25,3,3
1935,88.31,2,2
1950,88.38,2,2
1965,88.33,1,1
1980,88.35,1,1
1995,88.39,1,1
2010,88.47,1,1
2025,88.47,1,1
2040,88.14,1,0
2055,88.15,1,0
2070,88.17,1,1
2085,88.18,1,1
2100,88.23,1,1
2115,88.24,1,1
2130,88.26,1,1
2145,88.27,1,1
2160,88.23,2,2
2175,88.25,1,1
2190,88.27,1,1
2205,88.28,1,1
2220,88.29,1,0
2235,88.3,1,1
2250,88.31,1,1
2265,88.32,1,1
2280,88.37,1,1
2295,88.38,1,1
2310,88.39,1,1
2325,88.39,1,1
2340,88.39,1,1
2355,88.39,1,1
2370,88.42,1,1
2385,88.42,1,1
2400,88.43,0,0
2415,88.44,0,0
2430,88.46,0,0
2445,88.46,0,0
2460,88.48,1,1
2475,88.49,1,1
2490,88.51,1,1
2505,88.51,1,1
