frame_index,pts_time_s,dt_ms
0,0.0,
1,0.067,67.0
2,0.133,66.0
3,0.2,67.0
4,0.267,67.0
5,0.333,66.0
6,0.4,67.0
7,0.467,67.0
8,0.533,66.0
9,0.6,67.0
10,0.667,67.0
11,0.8,133.0
12,0.867,67.0
13,0.933,66.0
14,1.0,67.0
15,1.067,67.0
16,1.133,66.0
17,1.2,67.0
18,1.267,67.0
19,1.333,66.0
20,1.4,67.0
21,1.467,67.0
22,1.533,66.0
23,1.667,134.0
24,1.733,66.0
25,1.8,67.0
26,1.867,67.0
27,1.933,66.0
28,2.0,67.0
29,2.067,67.0
30,2.133,66.0
31,2.2,67.0
32,2.267,67.0
33,2.333,66.0
34,2.4,67.0
35,2.533,133.0
36,2.6,67.0
37,2.667,67.0
38,2.733,66.0
39,2.8,67.0
40,2.867,67.0
41,2.933,66.0
42,3.0,67.0
43,3.067,67.0
44,3.133,66.0
45,3.2,67.0
46,3.267,67.0
47,3.4,133.0
48,3.467,67.0
49,3.533,66.0
50,3.6,67.0
51,3.667,67.0
52,3.733,66.0
53,3.8,67.0
54,3.867,67.0
55,3.933,66.0
56,4.0,67.0
57,4.067,67.0
58,4.133,66.0
59,4.267,134.0
60,4.333,66.0
61,4.4,67.0
62,4.467,67.0
63,4.533,66.0
64,4.6,67.0
65,4.667,67.0
66,4.733,66.0
67,4.8,67.0
68,4.867,67.0
69,4.933,66.0
70,5.0,67.0
71,5.133,133.0
72,5.2,67.0
73,5.267,67.0
74,5.333,66.0
75,5.4,67.0
76,5.467,67.0
77,5.533,66.0
78,5.6,67.0
79,5.667,67.0
80,5.733,66.0
81,5.8,67.0
82,5.867,67.0
83,6.0,133.0
84,6.067,67.0
85,6.133,66.0
86,6.2,67.0
87,6.267,67.0
88,6.333,66.0
89,6.4,67.0
90,6.467,67.0
91,6.533,66.0
92,6.6,67.0
93,6.667,67.0
94,6.733,66.0
95,6.867,134.0
96,6.933,66.0
97,7.0,67.0
98,7.067,67.0
99,7.133,66.0
100,7.2,67.0
101,7.267,67.0
102,7.333,66.0
103,7.4,67.0
104,7.467,67.0
105,7.5,33.0
106,7.533,33.0
107,7.567,34.0
108,7.6,33.0
109,7.633,33.0
110,7.667,34.0
111,7.7,33.0
112,7.733,33.0
113,7.767,34.0
114,7.8,33.0
115,7.833,33.0
116,7.867,34.0
117,7.9,33.0
118,7.933,33.0
119,7.967,34.0
120,8.0,33.0
121,8.033,33.0
122,8.067,34.0
123,8.1,33.0
124,8.133,33.0
125,8.167,34.0
126,8.2,33.0
127,8.233,33.0
128,8.267,34.0
129,8.3,33.0
130,8.333,33.0
131,8.367,34.0
132,8.4,33.0
133,8.433,33.0
134,8.467,34.0
135,8.5,33.0
136,8.533,33.0
137,8.567,34.0
138,8.6,33.0
139,8.633,33.0
140,8.667,34.0
141,8.7,33.0
142,8.733,33.0
143,8.767,34.0
144,8.8,33.0
145,8.833,33.0
146,8.867,34.0
147,8.9,33.0
148,8.933,33.0
149,8.967,34.0
150,9.0,33.0
151,9.033,33.0
152,9.067,34.0
153,9.1,33.0
154,9.133,33.0
155,9.167,34.0
156,9.2,33.0
157,9.233,33.0
158,9.267,34.0
159,9.3,33.0
160,9.333,33.0
161,9.367,34.0
162,9.4,33.0
163,9.433,33.0
164,9.467,34.0
165,9.5,33.0
166,9.533,33.0
167,9.567,34.0
168,9.6,33.0
169,9.633,33.0
170,9.667,34.0
171,9.7,33.0
172,9.733,33.0
173,9.767,34.0
174,9.8,33.0
175,9.833,33.0
176,9.867,34.0
177,9.9,33.0
178,9.933,33.0
179,9.967,34.0
180,10.0,33.0
181,10.033,33.0
182,10.067,34.0
183,10.1,33.0
184,10.133,33.0
185,10.167,34.0
186,10.2,33.0
187,10.233,33.0
188,10.267,34.0
189,10.3,33.0
190,10.333,33.0
191,10.367,34.0
192,10.4,33.0
193,10.433,33.0
194,10.467,34.0
195,10.5,33.0
196,10.533,33.0
197,10.567,34.0
198,10.6,33.0
199,10.633,33.0
200,10.667,34.0
201,10.7,33.0
202,10.733,33.0
203,10.767,34.0
204,10.8,33.0
205,10.833,33.0
206,10.867,34.0
207,10.9,33.0
208,10.933,33.0
209,10.967,34.0
210,11.0,33.0
211,11.033,33.0
212,11.067,34.0
213,11.1,33.0
214,11.133,33.0
215,11.167,34.0
216,11.2,33.0
217,11.233,33.0
218,11.267,34.0
219,11.3,33.0
220,11.333,33.0
221,11.367,34.0
222,11.4,33.0
223,11.433,33.0
224,11.467,34.0
225,11.5,33.0
226,11.533,33.0
227,11.567,34.0
228,11.6,33.0
229,11.633,33.0
230,11.667,34.0
231,11.7,33.0
232,11.733,33.0
233,11.767,34.0
234,11.8,33.0
235,11.833,33.0
236,11.867,34.0
237,11.9,33.0
238,11.933,33.0
239,11.967,34.0
240,12.0,33.0
241,12.033,33.0
242,12.067,34.0
