frame_index,brightness,people_025,people_045
0,110.71,0,0
15,110.9,0,0
30,110.85,0,0
45,110.54,0,0
60,110.12,0,0
75,108.69,0,0
90,108.49,0,0
105,108.51,0,0
120,108.53,0,0
135,108.97,0,0
150,108.98,0,0
165,108.99,0,0
180,109.01,0,0
195,109.25,0,0
210,109.14,0,0
225,109.15,0,0
240,109.17,0,0
255,109.46,0,0
270,109.43,0,0
285,109.44,0,0
300,109.46,0,0
315,109.7,0,0
330,109.72,0,0
345,109.73,0,0
360,109.75,0,0
375,109.95,0,0
390,109.95,0,0
405,109.96,0,0
420,109.98,0,0
435,110.14,0,0
450,110.03,0,0
465,110.04,0,0
480,110.06,0,0
495,109.62,0,0
510,108.69,0,0
525,108.64,0,0
540,108.65,0,0
555,107.49,0,0
570,107.22,0,0
585,107.23,0,0
600,107.25,0,0
615,107.5,0,0
630,107.4,0,0
645,107.41,0,0
660,107.42,0,0
675,107.62,0,0
690,107.47,0,0
705,107.48,0,0
720,107.5,0,0
735,107.58,0,0
750,107.43,0,0
765,107.44,0,0
780,107.45,0,0
795,107.59,0,0
810,107.44,0,0
825,107.46,0,0
840,107.47,0,0
855,107.48,0,0
870,107.28,0,0
885,107.29,0,0
900,107.3,0,0
915,106.97,0,0
930,106.69,0,0
945,106.62,0,0
960,106.39,0,0
975,105.1,0,0
990,104.77,0,0
1005,104.95,0,0
1020,106.13,0,0
1035,106.29,0,0
1050,106.23,0,0
1065,107.12,0,0
1080,107.05,0,0
1095,107.34,0,0
1110,107.22,0,0
1125,106.93,0,0
1140,107.85,0,0
1155,108.18,0,0
1170,108.11,0,0
1185,107.91,0,0
1200,107.7,0,0
1215,106.88,0,0
1230,106.74,0,0
1245,106.75,0,0
1260,106.76,0,0
1275,106.66,0,0
1290,106.52,0,0
1305,106.53,0,0
1320,106.54,0,0
1335,106.57,0,0
1350,106.38,0,0
1365,106.39,0,0
1380,106.41,0,0
1395,106.51,0,0
1410,106.34,0,0
1425,106.35,0,0
1440,106.33,0,0
1455,108.83,0,0
1470,108.95,0,0
1485,108.94,0,0
1500,108.92,0,0
1515,108.74,0,0
1530,108.56,0,0
1545,108.57,0,0
1560,108.59,0,0
1575,108.61,0,0
1590,108.46,0,0
1605,108.47,0,0
1620,108.49,0,0
1635,108.53,0,0
1650,108.4,0,0
1665,108.41,0,0
1680,108.42,0,0
1695,108.47,0,0
1710,108.34,0,0
1725,108.35,0,0
1740,108.36,0,0
1755,108.35,0,0
1770,108.15,0,0
1785,108.16,0,0
