frame_index,pts_time_s,dt_ms
0,0.0,
1,0.067,67.0
2,0.134,67.0
3,0.2,66.0
4,0.267,67.0
5,0.334,67.0
6,0.4,66.0
7,0.467,67.0
8,0.534,67.0
9,0.6,66.0
10,0.667,67.0
11,0.734,67.0
12,0.8,66.0
13,0.867,67.0
14,0.934,67.0
15,1.0,66.0
16,1.067,67.0
17,1.134,67.0
18,1.2,66.0
19,1.267,67.0
20,1.334,67.0
21,1.4,66.0
22,1.467,67.0
23,1.534,67.0
24,1.6,66.0
25,1.667,67.0
26,1.734,67.0
27,1.8,66.0
28,1.867,67.0
29,1.934,67.0
30,2.0,66.0
31,2.067,67.0
32,2.134,67.0
33,2.2,66.0
34,2.267,67.0
35,2.334,67.0
36,2.4,66.0
37,2.467,67.0
38,2.534,67.0
39,2.6,66.0
40,2.667,67.0
41,2.734,67.0
42,2.8,66.0
43,2.867,67.0
44,2.934,67.0
45,3.0,66.0
46,3.067,67.0
47,3.134,67.0
48,3.2,66.0
49,3.267,67.0
50,3.334,67.0
51,3.4,66.0
52,3.467,67.0
53,3.534,67.0
54,3.6,66.0
55,3.667,67.0
56,3.734,67.0
57,3.8,66.0
58,3.867,67.0
59,3.934,67.0
60,4.0,66.0
61,4.067,67.0
62,4.134,67.0
63,4.2,66.0
64,4.267,67.0
65,4.334,67.0
66,4.4,66.0
67,4.467,67.0
68,4.534,67.0
69,4.6,66.0
70,4.667,67.0
71,4.734,67.0
72,4.8,66.0
73,4.867,67.0
74,4.934,67.0
75,5.0,66.0
76,5.067,67.0
77,5.134,67.0
78,5.2,66.0
79,5.267,67.0
80,5.334,67.0
81,5.4,66.0
82,5.467,67.0
83,5.534,67.0
84,5.6,66.0
85,5.667,67.0
86,5.734,67.0
87,5.8,66.0
88,5.867,67.0
89,5.934,67.0
90,6.0,66.0
91,6.067,67.0
92,6.134,67.0
93,6.2,66.0
94,6.267,67.0
95,6.334,67.0
96,6.4,66.0
97,6.467,67.0
98,6.534,67.0
99,6.6,66.0
100,6.667,67.0
101,6.734,67.0
102,6.8,66.0
103,6.867,67.0
104,6.934,67.0
105,7.0,66.0
106,7.067,67.0
107,7.134,67.0
108,7.2,66.0
109,7.267,67.0
110,7.334,67.0
111,7.4,66.0
112,7.467,67.0
113,7.534,67.0
114,7.6,66.0
115,7.667,67.0
116,7.734,67.0
117,7.8,66.0
118,7.867,67.0
119,7.934,67.0
120,8.0,66.0
121,8.067,67.0
122,8.134,67.0
123,8.2,66.0
124,8.267,67.0
125,8.334,67.0
126,8.4,66.0
127,8.467,67.0
128,8.534,67.0
129,8.6,66.0
130,8.667,67.0
131,8.734,67.0
132,8.8,66.0
133,8.867,67.0
134,8.934,67.0
135,9.0,66.0
136,9.067,67.0
137,9.134,67.0
138,9.2,66.0
139,9.267,67.0
140,9.334,67.0
141,9.4,66.0
142,9.467,67.0
143,9.534,67.0
144,9.6,66.0
145,9.667,67.0
146,9.734,67.0
147,9.8,66.0
148,9.867,67.0
149,9.934,67.0
150,10.0,66.0
151,10.067,67.0
152,10.134,67.0
153,10.2,66.0
154,10.267,67.0
155,10.334,67.0
156,10.4,66.0
157,10.467,67.0
158,10.534,67.0
159,10.6,66.0
160,10.667,67.0
161,10.734,67.0
162,10.8,66.0
163,10.867,67.0
164,10.934,67.0
165,11.0,66.0
166,11.067,67.0
167,11.134,67.0
168,11.2,66.0
169,11.267,67.0
170,11.334,67.0
171,11.4,66.0
172,11.467,67.0
173,11.534,67.0
174,11.6,66.0
175,11.667,67.0
176,11.734,67.0
177,11.8,66.0
178,11.867,67.0
179,11.934,67.0
180,12.0,66.0
181,12.067,67.0
182,12.134,67.0
183,12.2,66.0
184,12.267,67.0
185,12.334,67.0
186,12.4,66.0
187,12.467,67.0
188,12.534,67.0
189,12.6,66.0
190,12.667,67.0
191,12.734,67.0
192,12.8,66.0
193,12.867,67.0
194,12.934,67.0
195,13.0,66.0
196,13.067,67.0
197,13.134,67.0
198,13.2,66.0
199,13.267,67.0
200,13.334,67.0
201,13.4,66.0
202,13.467,67.0
203,13.534,67.0
204,13.6,66.0
205,13.667,67.0
206,13.734,67.0
207,13.8,66.0
208,13.867,67.0
209,13.934,67.0
210,14.0,66.0
211,14.067,67.0
212,14.134,67.0
213,14.2,66.0
214,14.267,67.0
215,14.334,67.0
216,14.4,66.0
217,14.467,67.0
218,14.534,67.0
219,14.6,66.0
220,14.667,67.0
221,14.734,67.0
222,14.8,66.0
223,14.867,67.0
224,14.934,67.0
225,15.0,66.0
226,15.067,67.0
227,15.134,67.0
228,15.2,66.0
229,15.267,67.0
230,15.334,67.0
231,15.4,66.0
232,15.467,67.0
233,15.534,67.0
234,15.6,66.0
235,15.667,67.0
236,15.734,67.0
237,15.8,66.0
238,15.867,67.0
239,15.934,67.0
240,16.0,66.0
241,16.067,67.0
242,16.134,67.0
